"full_name","H","albedo","diameter_sigma","e","a","i"
" 18882 (1999 YN4)",16.15,,,0.2321,1.685,36.81
" 19356 (1997 GH3)",17.00,0.34,,0.5578,2.512,3.01
" 19764 (2000 NF5)",16.11,0.342,0.07,0.4447,2.233,1.33
" 20086 (1994 LW)",16.68,,,0.6287,3.168,21.69
" 20236 (1998 BZ7)",17.70,,,0.5610,2.033,6.51
" 20255 (1998 FX2)",18.45,,,0.4920,2.151,9.96
" 20425 (1998 VD35)",20.51,,,0.4766,1.565,6.99
" 20429 (1998 YN1)",17.73,,,0.4641,1.556,6.30
" 20460 Robwhiteley (1999 LO28)",15.42,0.199,0.58,0.4118,1.877,33.95
" 20790 (2000 SE45)",16.64,,,0.5562,2.753,8.30
" 20826 (2000 UV13)",13.85,0.123,0.31,0.6365,2.418,31.93
" 21088 Chelyabinsk (1992 BL2)",14.36,0.206,0.08,0.2387,1.706,38.46
" 21277 (1996 TO5)",16.18,,,0.5204,2.378,20.95
" 21374 (1997 WS22)",17.45,,,0.1207,1.269,23.98
" 22099 (2000 EX106)",18.09,0.444,0.11,0.2763,1.104,9.85
" 22753 (1998 WT)",17.68,,,0.5700,1.219,3.21
" 22771 (1999 CU3)",16.96,,,0.5242,1.576,11.40
" 23183 (2000 OY21)",16.06,0.640,0.05,0.4009,1.824,40.98
" 23187 (2000 PN9)",16.06,,,0.5894,1.847,51.34
" 23548 (1994 EF2)",17.28,,,0.5179,2.289,23.44
" 23606 (1996 AS1)",18.39,0.123,0.01,0.3609,1.751,14.36
" 23714 (1998 EC3)",16.85,,,0.5165,2.128,8.44
" 24443 (2000 OG)",16.42,,,0.8224,2.31,25.74
" 24445 (2000 PM8)",14.71,,,0.5458,2.211,23.77
" 24475 (2000 VN2)",16.40,,,0.4417,1.975,14.63
" 24761 Ahau (1993 BW2)",17.37,,,0.3058,1.335,21.92
" 25143 Itokawa (1998 SF36)",19.26,,,0.2802,1.324,1.62
" 25330 (1999 KV4)",16.74,0.052,,0.3709,1.541,14.33
" 25916 (2001 CP44)",13.77,0.177,0.03,0.4998,2.558,15.76
" 26166 (1995 QN3)",16.79,,,0.6445,3.302,14.79
" 26310 (1998 TX6)",19.28,,,0.4695,2.139,5.38
" 26379 (1999 HZ1)",18.20,,,0.5763,1.606,8.68
" 26663 (2000 XK47)",18.17,,,0.4718,1.546,13.53
" 26760 (2001 KP41)",15.49,0.042,0.37,0.5570,2.854,11.01
" 26817 (1987 QB)",19.49,0.027,0.61,0.5937,2.806,3.50
" 27002 (1998 DV9)",18.31,,,0.4335,1.744,8.70
" 27031 (1998 RO4)",17.89,,,0.4263,2.138,5.36
" 27346 (2000 DN8)",15.88,0.256,0.07,0.3990,1.875,36.95
" 29075 (1950 DA)",17.28,0.070,0.13,0.5075,1.699,12.15
" 30825 (1990 TG1)",14.72,,,0.6809,2.436,8.74
" 30997 (1995 UO5)",17.27,,,0.6431,1.56,36.25
" 31210 (1998 BX7)",16.40,,,0.5020,2.606,8.96
" 31221 (1998 BP26)",17.23,,,0.2570,1.723,20.22
" 31345 (1998 PG)",17.62,,,0.3914,2.015,6.50
" 31346 (1998 PB1)",17.16,,,0.4295,2.032,5.97
" 31662 (1999 HP11)",19.54,,,0.5479,1.598,18.82
" 31669 (1999 JT6)",16.09,,,0.5778,2.137,9.54
" 32906 (1994 RH)",16.04,,,0.4404,2.247,18.94
" 33342 (1998 WT24)",18.02,0.654,0.03,0.4177,0.7187,7.37
" 34613 (2000 UR13)",16.09,,,0.3858,2.071,6.18
" 35107 (1991 VH)",16.87,0.408,0.04,0.1437,1.137,13.92
" 35396 (1997 XF11)",17.01,0.772,0.10,0.4838,1.442,4.10
" 35432 (1998 BG9)",19.39,,,0.5457,2.501,13.15
" 35670 (1998 SU27)",19.57,,,0.5964,2.122,7.14
" 36017 (1999 ND43)",19.29,,,0.3142,1.523,5.55
" 36183 (1999 TX16)",16.30,0.089,0.12,0.3323,1.551,38.22
" 36236 (1999 VV)",15.95,,,0.4239,1.332,58.04
" 36284 (2000 DM8)",15.04,,,0.5539,1.484,46.78
" 37336 (2001 RM)",15.78,,,0.4831,2.254,36.67
" 37638 (1993 VB)",19.28,,,0.5200,1.913,5.08
" 37655 Illapa (1994 PM)",17.85,,,0.7524,1.478,18.03
" 38071 (1999 GU3)",19.57,,,0.5070,2.09,12.73
" 38086 Beowulf (1999 JB)",17.35,0.469,0.15,0.5662,1.42,23.67
" 38091 (1999 JT3)",16.30,0.092,0.03,0.4011,2.17,9.33
" 38239 (1999 OR3)",18.33,,,0.5757,2.036,9.40
" 39557 Gielgud (1992 JG)",17.03,,,0.4262,2.264,5.55
" 39565 (1992 SL)",18.46,,,0.3342,1.642,8.60
" 39572 (1993 DQ1)",16.56,0.184,0.66,0.4928,2.036,10.03
" 39796 (1997 TD)",15.68,0.205,0.59,0.4683,2.251,12.93
" 40263 (1999 FQ5)",17.76,0.177,0.18,0.1610,1.495,25.84
" 40267 (1999 GJ4)",15.54,0.214,0.05,0.8084,1.339,34.48
" 40329 (1999 ML)",17.71,,,0.4550,2.265,2.52
" 41429 (2000 GE2)",20.66,0.267,0.03,0.5556,1.593,2.17
" 41440 (2000 HZ23)",19.88,,,0.2114,1.576,15.11
" 42286 (2001 TN41)",16.63,,,0.3915,1.419,24.08
" 48603 (1995 BC2)",17.82,0.227,0.23,0.4297,1.918,5.02
" 52340 (1992 SY)",18.09,,,0.5479,2.211,8.08
" 52381 (1993 HA)",20.06,,,0.1441,1.278,7.73
" 52387 Huitzilopochtli (1993 OM7)",17.75,0.171,0.30,0.1897,1.282,24.15
" 52689 (1998 FF2)",19.13,,,0.2926,1.562,10.98
" 52750 (1998 KK17)",16.67,0.471,0.01,0.5249,1.427,11.17
" 52760 (1998 ML14)",17.52,,0.05,0.6236,2.409,2.43
" 52761 (1998 MN14)",17.96,,,0.2243,1.555,19.49
" 52762 (1998 MT24)",14.81,0.051,0.19,0.6532,2.416,33.87
" 52768 (1998 OR2)",16.02,,0.30,0.5757,2.379,5.88
" 53110 (1999 AR7)",16.72,,,0.2146,1.644,40.63
" 53319 (1999 JM8)",15.35,,1.40,0.6415,2.724,13.84
" 53409 (1999 LU7)",18.73,,,0.6281,2.101,10.88
" 53426 (1999 SL5)",17.19,,,0.5397,1.922,22.77
" 53429 (1999 TF5)",18.90,,,0.6411,2.022,26.78
" 53430 (1999 TY16)",16.66,0.266,0.32,0.4032,2.099,60.41
" 53435 Leonard (1999 VM40)",14.73,,,0.4831,2.311,15.35
" 53550 (2000 BF19)",19.06,,,0.4197,1.495,7.18
" 53789 (2000 ED104)",17.35,0.222,0.22,0.2692,1.371,40.78
" 54071 (2000 GQ146)",17.43,,,0.1974,1.329,23.44
" 54401 (2000 LM)",17.23,0.181,0.19,0.2623,1.711,18.95
" 54509 YORP (2000 PH5)",22.66,,,0.2300,1.006,1.60
" 54660 (2000 UJ1)",17.92,,,0.2806,1.477,46.69
" 54686 (2001 DU8)",16.61,0.244,0.46,0.3418,1.777,33.21
" 54690 (2001 EB)",17.50,,,0.2565,1.63,35.36
" 54789 (2001 MZ7)",15.08,0.856,0.03,0.2874,1.776,24.47
" 55408 (2001 TC2)",18.87,0.342,0.01,0.2246,1.1,30.39
" 55532 (2001 WG2)",16.13,0.376,0.04,0.6952,1.795,38.54
" 65674 (1988 SM)",18.27,,,0.3439,1.665,10.95
