"full_name","H","albedo","diameter_sigma","e","a","i"
"       (2024 YB4)",26.14,,,0.4489,1.422,10.09
"       (2024 YE4)",27.60,,,0.4877,1.532,3.37
"       (2024 YF4)",26.11,,,0.5100,1.96,8.32
"       (2024 YG4)",24.54,,,0.3766,1.291,31.79
"       (2024 YH4)",22.54,,,0.0704,1.02,43.92
"       (2024 YJ4)",23.50,,,0.5713,2.246,5.34
"       (2024 YL4)",27.77,,,0.0362,1.047,3.39
"       (2024 YM4)",18.79,,,0.5987,2.55,5.27
"       (2024 YN4)",24.66,,,0.1882,1.228,25.73
"       (2024 YO4)",22.55,,,0.2010,1.284,18.77
"       (2024 YP4)",26.16,,,0.5324,2.199,3.17
"       (2024 YQ4)",23.39,,,0.1751,1.388,10.85
"       (2024 YR4)",23.92,,,0.6615,2.516,3.41
"       (2024 YS4)",23.73,,,0.4852,2.21,1.62
"       (2024 YT4)",25.70,,,0.6833,1.764,6.36
"       (2024 YU4)",19.04,,,0.7281,1.863,27.80
"       (2024 YV4)",27.01,,,0.6472,2.827,2.88
"       (2024 YW4)",23.09,,,0.3731,1.565,13.61
"       (2024 YX4)",20.65,,,0.2348,1.506,23.18
"       (2024 YY4)",26.44,,,0.1430,1.064,0.83
"       (2024 YZ4)",21.73,,,0.8582,2.005,5.05
"       (2024 YA5)",27.98,,,0.6027,2.013,14.46
"       (2024 YB5)",27.15,,,0.3511,0.925,7.73
"       (2024 YC5)",23.60,,,0.2778,1.05,5.71
"       (2024 YD5)",26.27,,,0.5488,2.237,0.75
"       (2024 YE5)",24.52,,,0.6981,2.747,6.89
"       (2024 YG5)",25.57,,,0.2391,0.865,14.45
"       (2024 YH5)",22.08,,,0.2841,1.801,19.54
"       (2024 YJ5)",21.23,,,0.7228,1.244,29.55
"       (2024 YL5)",23.90,,,0.1132,1.244,17.83
"       (2024 YM5)",24.45,,,0.4789,0.7218,21.69
"       (2024 YN5)",20.84,,,0.1812,1.441,21.75
"       (2024 YP5)",24.95,,,0.6189,2.847,6.62
"       (2024 YQ5)",25.50,,,0.3281,1.499,5.55
"       (2024 YR5)",22.17,,,0.4830,2.344,30.15
"       (2024 YU5)",24.95,,,0.4947,1.668,4.27
"       (2024 YV5)",20.05,,,0.7248,1.563,18.94
"       (2024 YW5)",26.04,,,0.4906,1.93,4.62
"       (2024 YX5)",25.75,,,0.4245,1.555,6.86
"       (2024 YY5)",27.00,,,0.0817,1.039,1.96
"       (2024 YZ5)",21.71,,,0.2975,1.705,10.28
"       (2024 YA6)",25.44,,,0.5125,1.992,6.96
"       (2024 YC6)",22.53,,,0.6132,2.48,8.34
"       (2024 YD6)",24.62,,,0.3531,1.617,12.91
"       (2024 YE6)",22.00,,,0.4800,2.223,5.97
"       (2024 YF6)",23.77,,,0.1348,1.258,26.27
"       (2024 YG6)",24.34,,,0.1580,1.248,12.80
"       (2024 YR6)",29.75,,,0.2288,1.093,0.42
"       (2024 YS6)",25.91,,,0.2973,1.252,8.68
"       (2024 YT6)",25.54,,,0.5593,2.451,1.21
"       (2024 YU6)",26.39,,,0.2555,1.384,17.72
"       (2024 YV6)",24.55,,,0.3395,1.619,19.34
"       (2024 YX6)",25.03,,,0.5305,2.317,7.36
"       (2024 YA7)",22.25,,,0.3025,1.464,23.46
"       (2024 YB7)",23.21,,,0.3620,1.707,9.32
"       (2024 YE7)",20.04,,,0.7016,2.662,5.74
"       (2024 YF7)",25.76,,,0.5317,1.66,3.69
"       (2024 YG7)",20.93,,,0.3717,1.802,10.96
"       (2024 YH7)",24.95,,,0.8134,2.268,2.42
"       (2024 YJ7)",29.40,,,0.3110,1.294,7.39
"       (2024 YK7)",24.82,,,0.5428,2.049,10.60
"       (2024 YL7)",25.39,,,0.5924,2.48,2.71
"       (2024 YM7)",27.09,,,0.4683,1.775,0.69
"       (2024 YN7)",28.21,,,0.4967,1.525,1.91
"       (2024 YO7)",25.11,,,0.1679,1.122,11.01
"       (2024 YP7)",26.06,,,0.4811,1.876,3.15
"       (2024 YT7)",22.66,,,0.5147,1.879,10.37
"       (2024 YU7)",24.67,,,0.1109,1.131,17.00
"       (2024 YH8)",20.81,,,0.4117,1.468,19.00
"       (2024 YJ8)",22.09,,,0.2387,1.702,22.84
"       (2024 YM8)",21.03,,,0.7521,1.231,17.49
"       (2024 YN8)",23.11,,,0.4748,1.744,6.36
"       (2024 YO8)",22.40,,,0.2918,1.409,26.30
"       (2024 YQ8)",22.12,,,0.6327,2.665,6.98
"       (2024 YR8)",24.60,,,0.5857,1.888,4.80
"       (2024 YS8)",23.82,,,0.3102,1.53,33.00
"       (2024 YT8)",27.11,,,0.3959,1.678,5.36
"       (2024 YU8)",22.87,,,0.2854,1.65,19.31
"       (2024 YW8)",32.15,,,0.2749,1.209,2.62
"       (2024 YX8)",26.13,,,0.7381,2.681,0.45
"       (2024 YY8)",28.73,,,0.3575,1.544,2.03
"       (2024 YZ8)",23.68,,,0.6163,2.745,35.55
"       (2024 YA9)",28.53,,,0.4670,1.144,12.04
"       (2024 YC9)",26.96,,,0.4490,1.691,4.12
"       (2024 YD9)",25.38,,,0.4956,2.011,6.18
"       (2024 YE9)",27.80,,,0.5285,1.564,0.37
"       (2024 YF9)",24.16,,,0.2824,1.42,2.43
"       (2024 YG9)",28.78,,,0.6209,2.201,8.63
"       (2024 YH9)",27.84,,,0.0736,1.035,7.09
"       (2024 YJ9)",27.91,,,0.4947,1.581,11.48
"       (2024 YK9)",23.68,,,0.1863,1.375,11.76
"       (2024 YL9)",21.74,,,0.3238,1.783,25.98
"       (2024 YM9)",22.35,,,0.8791,2.558,4.91
"       (2024 YN9)",25.66,,,0.6221,2.456,2.70
"       (2024 YO9)",26.39,,,0.5370,1.982,2.69
"       (2024 YP9)",22.19,,,0.0489,1.017,10.34
"       (2024 YR9)",25.74,,,0.5134,1.155,27.07
"       (2024 YS9)",27.82,,,0.5948,1.176,19.28
"       (2024 YU9)",27.27,,,0.5125,1.632,1.82
"       (2024 YV9)",20.36,,,0.5213,2.589,5.95
"       (2024 YW9)",26.33,,,0.4892,1.864,0.37
"       (2024 YX9)",26.86,,,0.5663,2.1,4.78
"       (2024 YY9)",24.86,,,0.5289,1.872,5.08
"       (2024 YZ9)",25.17,,,0.2591,1.062,1.16
"       (2024 YA10)",26.10,,,0.5409,2.099,14.32
"       (2024 YB10)",26.75,,,0.1215,1.144,3.61
"       (2024 YV10)",26.18,,,0.2317,1.303,8.99
"       (2024 YW10)",23.66,,,0.3386,1.599,3.11
"       (2024 YX10)",23.61,,,0.4371,1.033,17.13
"       (2024 YJ11)",23.92,,,0.4879,1.864,7.15
"       (2024 YR11)",25.45,,,0.1685,0.8744,1.85
"       (2024 YM12)",25.81,,,0.4840,1.064,9.32
"       (2024 YW12)",23.60,,,0.5866,2.48,17.52
"       (2024 YX12)",20.24,,,0.7127,2.393,23.39
"       (2024 YY12)",27.33,,,0.3316,1.446,10.18
"       (2024 YZ12)",26.54,,,0.3147,0.8244,6.45
"       (2024 YA13)",22.34,,,0.1776,1.494,29.83
"       (2024 YB13)",22.85,,,0.3673,1.131,31.31
"       (2024 YC13)",19.69,,,0.3918,1.62,43.39
"       (2024 YD13)",25.90,,,0.1225,0.9321,12.45
"       (2024 YE13)",24.53,,,0.5537,2.385,11.58
"       (2024 YG13)",27.02,,,0.5479,1.993,8.87
"       (2024 YH13)",25.23,,,0.2802,1.404,4.38
"       (2024 YE14)",20.49,,,0.4467,2.312,23.26
"       (2024 YF15)",20.84,,,0.7329,1.313,19.08
"       (2024 YL16)",24.82,,,0.3151,1.346,11.03
"       (2024 YL17)",22.29,,,0.4804,2.226,24.67
"       (2024 YU17)",23.53,,,0.4037,1.525,21.26
"       (2024 YV17)",23.20,,,0.4639,1.104,19.15
"       (2024 YW17)",23.41,,,0.3321,1.858,8.41
"       (2024 YT18)",21.69,,,0.4985,2.498,12.22
"       (2024 YY21)",26.87,,,0.3516,1.543,1.49
"       (2024 YA26)",24.00,,,0.3421,1.558,3.22
"       (2024 YB26)",26.52,,,0.1590,0.9109,8.83
"       (2024 YC26)",24.84,,,0.5136,1.683,7.80
"       (2024 YE26)",23.52,,,0.4946,1.857,7.22
"       (2024 YA36)",20.07,,,0.8263,4.911,4.35
"       (2025 AA)",25.05,,,0.3889,1.774,15.67
"       (2025 AB)",27.13,,,0.3337,0.9541,9.97
"       (2025 AC)",29.02,,,0.1759,1.166,2.61
"       (2025 AD)",23.86,,,0.0999,1.242,23.98
"       (2025 AE)",25.74,,,0.4936,0.8118,22.84
"       (2025 AF)",25.05,,,0.5759,2.346,3.98
"       (2025 AG)",25.24,,,0.3865,1.625,29.43
"       (2025 AH)",24.27,,,0.6745,1.683,4.18
"       (2025 AJ)",25.36,,,0.1553,0.8752,13.63
"       (2025 AK)",23.77,,,0.0534,1.17,11.12
"       (2025 AL)",24.59,,,0.3134,1.102,10.42
"       (2025 AN)",24.91,,,0.5941,1.963,4.95
"       (2025 AO)",28.75,,,0.3908,1.377,0.29
"       (2025 AP)",24.48,,,0.2584,1.353,6.33
"       (2025 AQ)",23.43,,,0.5109,1.427,0.85
"       (2025 AS)",24.40,,,0.4946,1.778,3.89
"       (2025 AT)",25.72,,,0.1842,1.295,15.49
"       (2025 AU)",20.95,,,0.3168,1.31,18.45
"       (2025 AV)",22.99,,,0.4795,2.426,12.50
"       (2025 AX)",21.49,,,0.6484,0.6832,21.52
"       (2025 AY)",21.70,,,0.3871,1.369,14.78
"       (2025 AZ)",25.87,,,0.3283,1.443,24.53
"       (2025 AA1)",25.08,,,0.2596,0.9695,16.40
"       (2025 AB1)",26.16,,,0.2397,0.9259,6.10
"       (2025 AC1)",26.89,,,0.2225,0.8524,6.40
"       (2025 AD1)",23.61,,,0.5756,1.684,6.60
"       (2025 AE1)",22.22,,,0.7573,2.327,12.92
"       (2025 AF1)",27.75,,,0.3543,1.534,1.13
"       (2025 AG1)",29.49,,,0.0916,1.068,2.84
"       (2025 AH1)",28.27,,,0.2822,1.217,5.64
"       (2025 AJ1)",23.53,,,0.3637,1.695,17.00
"       (2025 AK1)",23.92,,,0.5208,2.065,5.10
"       (2025 AL1)",22.50,,,0.4037,1.688,28.84
"       (2025 AN1)",25.75,,,0.5838,2.167,2.69
"       (2025 AO1)",27.94,,,0.5457,2.137,3.63
"       (2025 AQ1)",22.81,,,0.1874,1.226,22.18
"       (2025 AR1)",22.89,,,0.3873,1.702,35.69
"       (2025 AS1)",21.94,,,0.2283,1.133,9.65
"       (2025 AU1)",24.35,,,0.3350,0.8659,4.68
"       (2025 AW1)",22.93,,,0.7047,3.301,11.91
"       (2025 AX1)",26.85,,,0.6605,2.457,3.98
"       (2025 AY1)",23.18,,,0.2820,1.282,26.58
"       (2025 AZ1)",27.48,,,0.1570,1.164,25.41
"       (2025 AA2)",26.09,,,0.6392,2.368,2.08
"       (2025 AB2)",22.52,,,0.3050,1.582,7.22
"       (2025 AC2)",25.33,,,0.4165,1.693,4.98
"       (2025 AD2)",26.76,,,0.2084,1.228,6.67
"       (2025 AE2)",24.68,,,0.5053,1.953,9.71
"       (2025 AF2)",22.50,,,0.5363,2.758,4.93
"       (2025 AH2)",20.62,,,0.3578,1.627,32.33
"       (2025 AJ2)",23.49,,,0.4633,1.523,27.38
"       (2025 AK2)",21.74,,,0.3156,0.9797,18.83
"       (2025 AL2)",22.75,,,0.4795,1.544,2.94
"       (2025 AM2)",26.16,,,0.3616,1.555,17.20
"       (2025 AN2)",27.04,,,0.5243,2.057,7.50
"       (2025 AO2)",26.36,,,0.6607,2.802,2.61
"       (2025 AV2)",26.24,,,0.6308,2.135,10.99
"       (2025 AW2)",21.51,,,0.4026,1.868,31.66
"       (2025 AX2)",26.88,,,0.3356,1.161,4.21
"       (2025 AY2)",23.54,,,0.7043,1.728,3.33
"       (2025 AA3)",23.77,,,0.4725,1.889,11.14
"       (2025 AB3)",24.34,,,0.3186,1.551,18.35
"       (2025 AC3)",25.70,,,0.3404,1.51,7.34
"       (2025 AD3)",20.95,,,0.7608,2.297,43.35
"       (2025 AE3)",22.20,,,0.5648,2.204,6.61
"       (2025 AF3)",23.67,,,0.4089,1.094,3.72
"       (2025 AG3)",28.31,,,0.5909,2.435,0.82
"       (2025 AK3)",26.17,,,0.3783,1.59,7.81
"       (2025 AL3)",20.55,,,0.4194,2.046,41.55
"       (2025 AM3)",22.76,,,0.5782,2.873,14.85
"       (2025 AN3)",23.26,,,0.4241,1.649,10.19
"       (2025 AO3)",25.81,,,0.2610,1.475,11.15
"       (2025 AP3)",21.13,,,0.6818,2.722,9.67
"       (2025 AU3)",25.43,,,0.2097,1.271,35.80
"       (2025 AW3)",24.40,,,0.4985,2.125,6.06
"       (2025 AZ3)",25.91,,,0.2640,1.27,10.92
"       (2025 AA4)",29.24,,,0.5036,1.65,1.73
"       (2025 AB4)",19.34,,,0.5172,1.878,34.20
"       (2025 AC4)",24.57,,,0.4650,1.215,9.11
"       (2025 AH4)",29.75,,,0.5512,1.655,1.26
"       (2025 AA5)",24.98,,,0.2800,1.503,6.01
"       (2025 AG5)",21.29,,,0.5967,2.712,25.78
"       (2025 AG10)",21.11,,,0.4980,1.521,22.45
"       (2025 BA)",23.62,,,0.8068,2.801,12.73
"       (2025 BB)",20.98,,,0.3324,1.652,31.80
"       (2025 BC)",26.73,,,0.0679,0.9525,5.64
"       (2025 BD)",27.05,,,0.6321,2.046,1.58
"       (2025 BE)",23.89,,,0.6512,1.949,4.50
"       (2025 BF)",24.75,,,0.2603,1.247,11.20
"       (2025 BG)",20.76,,,0.2466,1.374,21.69
"       (2025 BH)",25.29,,,0.5342,1.566,4.30
"       (2025 BJ)",26.20,,,0.5933,2.484,0.47
"       (2025 BK)",24.09,,,0.6277,2.606,3.17
"       (2025 BL)",25.49,,,0.1107,1,11.85
"       (2025 BM)",23.27,,,0.4834,1.882,8.08
"       (2025 BN)",26.31,,,0.5645,2.02,5.63
"       (2025 BO)",26.57,,,0.5957,2.446,9.87
"       (2025 BP)",27.43,,,0.6967,2.435,4.38
"       (2025 BQ)",26.23,,,0.3892,1.534,15.55
"       (2025 BR)",26.49,,,0.1743,0.9105,8.54
"       (2025 BS)",23.64,,,0.6175,1.934,4.98
"       (2025 BT)",26.82,,,0.5363,2.008,16.87
"       (2025 BU)",26.53,,,0.2587,1.316,4.02
"       (2025 BW)",27.74,,,0.3250,1.446,4.03
"       (2025 BX)",25.63,,,0.2866,1.426,4.75
"       (2025 BY)",24.57,,,0.5029,1.856,11.52
"       (2025 BZ)",27.89,,,0.4118,1.645,10.04
"       (2025 BA1)",27.59,,,0.5487,1.762,0.95
"       (2025 BB1)",27.42,,,0.4875,1.951,2.03
"       (2025 BC1)",26.79,,,0.4586,1.228,31.20
"       (2025 BD1)",29.68,,,0.3080,1.303,2.77
"       (2025 BE1)",26.47,,,0.2312,1.01,10.69
"       (2025 BF1)",26.43,,,0.5892,2.472,9.39
"       (2025 BG1)",25.39,,,0.5958,2.565,1.99
"       (2025 BH1)",23.50,,,0.5871,1.495,15.92
"       (2025 BJ1)",26.29,,,0.5774,1.958,6.99
"       (2025 BM1)",28.67,,,0.4111,1.555,3.45
"       (2025 BO1)",27.21,,,0.2679,1.318,11.31
"       (2025 BP1)",23.59,,,0.3146,1.445,17.12
"       (2025 BQ1)",23.36,,,0.3754,1.723,9.01
"       (2025 BR1)",20.96,,,0.6724,2.121,8.50
"       (2025 BT1)",21.58,,,0.2035,0.9054,23.42
"       (2025 BU1)",22.18,,,0.3398,1.566,33.10
"       (2025 BX1)",24.44,,,0.4521,1.603,2.81
"       (2025 BY1)",27.68,,,0.2699,1.257,8.01
"       (2025 BZ1)",24.75,,,0.1865,1.331,18.22
"       (2025 BA2)",25.99,,,0.6065,2.594,1.18
"       (2025 BB2)",25.64,,,0.4197,1.69,3.85
"       (2025 BC2)",24.51,,,0.5852,1.426,4.31
"       (2025 BG2)",23.41,,,0.5924,2.384,21.20
"       (2025 BH2)",25.12,,,0.2773,1.403,10.80
"       (2025 BJ2)",24.72,,,0.4605,0.9428,15.88
"       (2025 BL2)",24.66,,,0.3861,1.63,34.03
"       (2025 BM2)",25.31,,,0.1610,0.98,7.83
"       (2025 BN2)",25.51,,,0.0818,1.096,8.95
"       (2025 BP2)",27.79,,,0.4225,1.668,3.67
"       (2025 BQ2)",23.46,,,0.6241,2.785,1.13
"       (2025 BR2)",26.14,,,0.5262,1.546,3.24
"       (2025 BS2)",26.70,,,0.6263,2.592,1.47
"       (2025 BT2)",26.82,,,0.5950,1.662,4.07
"       (2025 BU2)",21.72,,,0.5943,2.71,11.88
"       (2025 BV2)",25.80,,,0.4767,1.913,7.10
"       (2025 BW2)",20.41,,,0.6046,2.318,28.89
"       (2025 BX2)",19.91,,,0.4063,1.524,29.37
"       (2025 BZ2)",26.30,,,0.3474,1.548,12.40
"       (2025 BA3)",26.02,,,0.4424,1.723,2.40
"       (2025 BC3)",23.33,,,0.6375,2.426,2.33
"       (2025 BD3)",25.51,,,0.4178,1.778,7.29
"       (2025 BE3)",21.01,,,0.6976,1.572,8.31
"       (2025 BK3)",27.72,,,0.2590,1.362,2.02
"       (2025 BL3)",25.16,,,0.2422,1.243,7.37
"       (2025 BM3)",23.72,,,0.1937,1.448,12.69
"       (2025 BU3)",24.94,,,0.4369,0.7415,14.03
"       (2025 BV3)",26.54,,,0.5564,1.897,4.37
"       (2025 BB4)",28.15,,,0.5998,2.018,7.41
"       (2025 BC4)",25.79,,,0.2891,1.147,7.34
"       (2025 BE4)",26.50,,,0.7359,1.694,0.50
"       (2025 BF4)",27.31,,,0.4902,1.964,7.18
"       (2025 BG4)",25.82,,,0.5547,1.379,13.06
"       (2025 BH4)",23.19,,,0.4978,2.012,8.60
"       (2025 BJ4)",22.61,,,0.6207,1.971,22.72
"       (2025 BL4)",23.13,,,0.3663,1.102,26.99
"       (2025 BN4)",25.92,,,0.6113,2.637,3.23
"       (2025 BP4)",29.27,,,0.7130,1.876,4.18
"       (2025 BQ4)",24.93,,,0.3154,1.743,9.76
"       (2025 BR4)",24.49,,,0.5779,1.547,0.69
"       (2025 BS4)",28.51,,,0.5738,1.694,1.64
"       (2025 BT4)",28.60,,,0.4118,1.655,1.20
"       (2025 BU4)",24.47,,,0.3763,1.727,6.54
"       (2025 BY4)",23.49,,,0.5367,2.055,6.07
"       (2025 BF5)",27.25,,,0.4941,1.746,6.99
"       (2025 BM5)",24.09,,,0.2611,1.399,19.98
"       (2025 BN5)",26.86,,,0.4547,1.889,1.68
"       (2025 BO5)",20.49,,,0.3140,1.56,47.49
"       (2025 BP5)",19.59,,,0.7249,2.044,11.62
"       (2025 BQ5)",24.68,,,0.6313,2.631,6.01
"       (2025 BV5)",28.33,,,0.1182,0.9171,3.85
"       (2025 BW5)",24.63,,,0.3984,1.097,35.68
"       (2025 BX5)",22.65,,,0.4655,1.444,8.01
"       (2025 BG6)",22.62,,,0.3889,1.406,18.02
"       (2025 BH6)",24.83,,,0.5398,2.226,5.42
"       (2025 BL6)",22.56,,,0.6473,1.495,10.14
"       (2025 BM6)",27.09,,,0.1888,0.9552,5.71
"       (2025 BN6)",28.23,,,0.3951,1.48,0.37
"       (2025 BO6)",23.43,,,0.1581,1.415,20.38
"       (2025 BP6)",31.82,,,0.6521,1.795,4.02
"       (2025 BQ6)",21.18,,,0.5082,2.531,31.24
"       (2025 BR6)",22.96,,,0.5107,2.405,6.34
"       (2025 BS6)",24.55,,,0.1386,1.185,28.26
"       (2025 BU6)",24.68,,,0.5378,2.081,7.12
"       (2025 BC7)",19.82,,,0.4874,2.319,31.46
"       (2025 BF7)",29.92,,,0.2698,1.135,2.45
"       (2025 BH7)",25.04,,,0.3196,1.61,1.74
"       (2025 BJ7)",25.39,,,0.7756,2.473,3.60
"       (2025 BQ7)",22.16,,,0.4986,2.247,19.38
"       (2025 BR7)",25.13,,,0.4115,1.376,22.33
"       (2025 BY7)",23.02,,,0.7698,1.941,5.38
"       (2025 BZ7)",24.61,,,0.1253,0.9635,2.65
"       (2025 BQ8)",21.24,,,0.3703,1.631,22.74
"       (2025 BO9)",20.98,,,0.6017,1.679,33.93
"       (2025 BC10)",19.38,,,0.7480,2.114,4.99
"       (2025 BO16)",26.61,,,0.5577,1.728,10.88
"       (2025 CA)",26.14,,,0.4716,1.538,11.26
"       (2025 CB)",24.57,,,0.4887,2.036,2.14
"       (2025 CC)",27.57,,,0.0667,0.9967,8.23
"       (2025 CD)",28.45,,,0.3414,0.9938,16.53
"       (2025 CE)",27.13,,,0.1381,0.9475,23.16
"       (2025 CF)",29.86,,,0.3768,1.092,4.26
"       (2025 CG)",26.58,,,0.4548,1.734,6.27
"       (2025 CH)",27.40,,,0.5162,2.072,3.57
"       (2025 CJ)",28.28,,,0.1278,0.9911,4.14
"       (2025 CK)",28.25,,,0.1374,1.064,5.79
"       (2025 CL)",22.51,,,0.5136,2.471,24.74
"       (2025 CM)",26.96,,,0.2364,0.8622,1.95
"       (2025 CN)",26.03,,,0.1873,0.8904,16.83
"       (2025 CO)",26.36,,,0.4954,1.935,10.12
"       (2025 CP)",23.53,,,0.2704,1.503,28.76
"       (2025 CQ)",24.43,,,0.6103,1.895,5.45
"       (2025 CR)",25.36,,,0.3529,1.091,1.90
"       (2025 CS)",23.42,,,0.2406,1.538,21.15
"       (2025 CT)",25.79,,,0.1650,1.227,14.52
"       (2025 CU)",24.14,,,0.3037,1.604,27.33
"       (2025 CV)",26.91,,,0.4554,1.748,6.75
"       (2025 CW)",20.60,,,0.7118,2.809,7.26
"       (2025 CX)",26.52,,,0.6955,2.542,0.67
"       (2025 CY)",25.29,,,0.4713,1.48,4.15
"       (2025 CZ)",25.44,,,0.1699,1.212,10.77
"       (2025 CA1)",27.86,,,0.4204,1.607,8.96
"       (2025 CB1)",24.53,,,0.2545,1.435,15.32
"       (2025 CC1)",28.18,,,0.4300,1.748,7.35
"       (2025 CD1)",22.26,,,0.5024,2.383,36.50
"       (2025 CE1)",22.99,,,0.1550,1.288,28.66
"       (2025 CF1)",25.72,,,0.4372,1.468,6.97
"       (2025 CG1)",24.20,,,0.3092,1.619,6.09
"       (2025 CH1)",26.93,,,0.1762,1.179,8.31
"       (2025 CJ1)",28.20,,,0.2605,1.315,7.74
"       (2025 CK1)",27.98,,,0.4929,1.785,0.86
"       (2025 CL1)",25.36,,,0.2204,1.226,18.35
"       (2025 CM1)",27.75,,,0.2624,1.012,5.75
"       (2025 CN1)",26.32,,,0.4391,1.785,13.90
"       (2025 CO1)",25.70,,,0.5861,2.485,3.10
"       (2025 CP1)",28.72,,,0.4231,0.7854,2.05
"       (2025 CQ1)",26.20,,,0.1146,1.12,33.85
"       (2025 CR1)",30.41,,,0.3516,1.492,1.59
"       (2025 CS1)",26.99,,,0.5246,1.382,11.58
"       (2025 CT1)",25.37,,,0.1190,0.978,1.67
"       (2025 CU1)",27.26,,,0.5776,1.859,0.63
"       (2025 CV1)",24.23,,,0.3756,1.236,2.82
"       (2025 CW1)",23.92,,,0.3073,1.237,12.51
"       (2025 CX1)",24.56,,,0.3465,1.358,7.75
"       (2025 CZ1)",29.36,,,0.5614,2.07,11.90
"       (2025 CA2)",26.11,,,0.2334,1.197,5.26
"       (2025 CC2)",25.41,,,0.1828,1.251,27.42
"       (2025 CD2)",26.71,,,0.3734,1.018,3.73
"       (2025 CE2)",25.19,,,0.3537,0.9862,2.97
"       (2025 CF2)",26.85,,,0.5485,1.974,5.17
"       (2025 CG2)",23.78,,,0.6970,2.253,3.98
"       (2025 CH2)",23.38,,,0.3647,1.439,21.68
"       (2025 CJ2)",23.82,,,0.3167,1.387,19.40
"       (2025 CK2)",24.34,,,0.5210,2.209,8.05
"       (2025 CL2)",21.36,,,0.4209,1.466,40.29
"       (2025 CM2)",23.84,,,0.0389,1.131,6.97
"       (2025 CN2)",27.91,,,0.2588,1.153,6.60
"       (2025 CO2)",24.46,,,0.1795,1.335,17.58
"       (2025 CQ2)",22.69,,,0.4835,2.135,13.15
"       (2025 CR2)",23.50,,,0.4962,1.317,33.29
"       (2025 CS2)",23.55,,,0.4154,0.9471,3.85
"       (2025 CT2)",22.59,,,0.5773,1.828,7.76
"       (2025 CU2)",22.48,,,0.5307,2.322,26.51
"       (2025 CV2)",23.51,,,0.5792,2.425,32.61
"       (2025 CW2)",21.02,,,0.4805,1.518,28.56
"       (2025 CX2)",24.74,,,0.5159,1.765,3.14
"       (2025 CY2)",28.21,,,0.2115,1.236,0.97
"       (2025 CA3)",25.33,,,0.4898,1.788,5.89
"       (2025 CB3)",27.03,,,0.6697,2.5,8.77
"       (2025 CC3)",27.06,,,0.3418,1.268,6.25
"       (2025 CD3)",20.28,,,0.5121,1.545,17.92
"       (2025 CJ3)",25.99,,,0.4126,1.655,9.81
"       (2025 CK3)",23.60,,,0.3393,1.702,11.35
"       (2025 CL3)",25.38,,,0.4030,1.134,4.79
"       (2025 CM3)",24.97,,,0.4399,1.728,4.03
"       (2025 CO3)",23.00,,,0.1515,1.098,14.91
"       (2025 CQ3)",25.46,,,0.1773,1.02,28.84
"       (2025 CS3)",22.98,,,0.4445,1.814,20.37
"       (2025 CT3)",24.07,,,0.6781,2.455,2.85
"       (2025 CX3)",23.41,,,0.5389,0.7771,9.04
"       (2025 CY3)",24.75,,,0.5142,2.078,7.99
"       (2025 CE4)",25.48,,,0.1286,1.181,20.89
"       (2025 CF4)",27.88,,,0.5685,2.102,7.28
"       (2025 CG4)",22.50,,,0.2065,1.42,6.92
"       (2025 CH4)",21.23,,,0.8733,2.492,13.75
"       (2025 CJ4)",26.16,,,0.4333,0.6923,20.93
"       (2025 CK4)",24.13,,,0.4478,1.626,6.84
"       (2025 CB8)",29.43,,,0.1588,0.9594,4.57
"       (2025 CE13)",21.41,,,0.5615,2.141,6.62
"       (2025 DA)",22.04,,,0.7701,2.816,5.71
"       (2025 DB)",23.46,,,0.4698,1.863,11.95
"       (2025 DC)",27.52,,,0.4707,0.8569,3.61
"       (2025 DD)",24.10,,,0.4485,1.027,14.21
"       (2025 DE)",23.85,,,0.4817,1.667,5.64
"       (2025 DF)",28.19,,,0.2063,1.235,1.77
"       (2025 DG)",22.55,,,0.2931,1.81,21.11
"       (2025 DJ)",27.13,,,0.3901,1.135,9.46
"       (2025 DK)",28.04,,,0.6708,1.979,5.70
"       (2025 DL)",23.43,,,0.2866,1.525,12.00
"       (2025 DM)",26.13,,,0.2271,1.311,15.21
"       (2025 DN)",27.87,,,0.6444,2.796,3.54
"       (2025 DO)",25.47,,,0.1518,1.016,5.70
"       (2025 DP)",26.62,,,0.4528,1.852,2.45
"       (2025 DQ)",29.93,,,0.1990,0.9991,2.43
"       (2025 DR)",25.01,,,0.6736,1.319,47.50
"       (2025 DS)",24.49,,,0.3506,1.55,19.43
"       (2025 DT)",25.32,,,0.7419,1.797,6.08
"       (2025 DU)",27.88,,,0.3495,0.7877,5.57
"       (2025 DV)",26.22,,,0.2209,1.225,17.17
"       (2025 DW)",30.90,,,0.4361,1.669,0.72
"       (2025 DX)",26.35,,,0.5428,2.112,5.43
"       (2025 DY)",26.00,,,0.5515,1.942,1.32
"       (2025 DA1)",25.08,,,0.3750,1.67,10.16
"       (2025 DB1)",27.09,,,0.2765,0.788,6.74
"       (2025 DC1)",25.99,,,0.3697,1.583,9.19
"       (2025 DD1)",19.34,,,0.5995,3.217,20.04
"       (2025 DE1)",25.03,,,0.4668,1.493,0.80
"       (2025 DF1)",24.96,,,0.5464,2.018,4.50
"       (2025 DG1)",27.50,,,0.5990,2.477,6.13
"       (2025 DH1)",26.42,,,0.3180,1.459,0.56
"       (2025 DJ1)",25.31,,,0.4130,1.682,0.94
"       (2025 DK1)",30.24,,,0.6076,2,1.66
"       (2025 DL1)",27.79,,,0.2970,1.445,0.14
