id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
3346460,(2006 SS134),21.5,0.1332155667,0.2978790628,True,2025-10-01,18.9653020523,12154744.524033417,Earth
3471356,(2009 TJ4),26.1,0.0160160338,0.0358129403,False,2025-10-01,16.3944524722,65592452.178193384,Earth
3730802,(2015 TT238),24.62,0.0316632126,0.0708010957,False,2025-10-01,7.1652213599,13734664.249426774,Earth
3856710,(2019 SG4),24.84,0.0286124454,0.0639793729,False,2025-10-01,13.4401664173,8333127.49470879,Earth
3994621,(2020 DT2),27.6,0.0080270317,0.0179489885,False,2025-10-01,8.3918231939,20014314.85996984,Earth
54054367,(2020 SA),24.36,0.0356906927,0.079806815,False,2025-10-01,12.4891405545,8378998.495109659,Earth
54157355,(2021 LV2),25.27,0.0234722638,0.0524855773,False,2025-10-01,19.4060797909,61892989.962807672,Earth
54235406,(2022 AG),25.12,0.0251509837,0.0562393094,False,2025-10-01,3.2461444272,28616186.311296318,Earth
54253542,(2022 EG4),24.48,0.0337718597,0.0755161741,False,2025-10-01,15.4244882247,50251557.767745725,Earth
54391010,(2023 TF1),25.13,0.0250354255,0.0559809132,False,2025-10-01,10.5182170538,17827604.661682777,Earth
54395903,(2023 UJ1),26.11,0.0159424468,0.0356483948,False,2025-10-01,17.3404565887,42520024.389117256,Earth
54415896,(2023 XU10),27.66,0.0078082728,0.0174598287,False,2025-10-01,8.3011856102,12062148.468991849,Earth
54543546,(2025 QL23),23.44,0.0545198907,0.1219101818,False,2025-10-01,9.956027291,2730072.894676274,Earth
54546120,(2025 SZ),28.18,0.0061454682,0.0137416847,False,2025-10-01,1.9892043028,3464193.071027935,Earth
54549109,(2025 SY21),26.93,0.0109283596,0.0244365549,False,2025-10-01,20.5382519481,1707958.13380065,Earth
54549128,(2025 SJ27),24.65,0.031228777,0.0698296682,False,2025-10-01,7.4751282089,11083734.31269956,Earth
54548206,(2025 SQ12),25.27,0.0234722638,0.0524855773,False,2025-10-01,12.8515520845,6546238.951612776,Earth
54550509,(2025 TP),29.28,0.0037030108,0.0082801838,False,2025-10-01,14.7102960698,107633.498295885,Earth
54550511,(2025 TQ),28.93,0.0043506583,0.0097283677,False,2025-10-01,10.0770567163,310829.487636716,Earth
54550518,(2025 TW),24.66,0.0310852938,0.0695088301,False,2025-10-01,12.4718626147,10499711.169560728,Earth
54549684,(2025 TB),26.54,0.0130784109,0.0292442157,False,2025-10-01,11.8540669258,1363936.514039175,Earth
54549695,(2025 TF),31.7,0.0012149404,0.0027166893,False,2025-10-01,20.8761143007,6780.463618602,Earth
3559911,(2011 ET74),26.2,0.0152951935,0.0342010925,False,2025-10-07,18.0792095644,65301756.589166784,Earth
3611402,(2012 TR231),23.9,0.04411182,0.0986370281,False,2025-10-07,18.3828706129,47911936.974305808,Earth
3781897,(2017 SL16),25.92,0.0174002295,0.038908096,False,2025-10-07,5.0013428598,21187666.679586415,Earth
3819574,(2018 HG2),24.26,0.0373727432,0.0835679943,False,2025-10-07,23.0053158378,64466387.183138932,Earth
3831210,(2018 TX1),24.34,0.0360209346,0.0805452583,False,2025-10-07,10.9076871089,17436797.699338993,Earth
54016489,(2020 GA2),21.14,0.1572370824,0.3515928047,True,2025-10-07,30.0366565688,44561001.638214917,Earth
54165800,(2021 NM),26.23,0.0150853356,0.0337318359,False,2025-10-07,23.8269863934,42583700.348488081,Earth
54202333,(2021 TE1),24.44,0.0343997255,0.0769201245,False,2025-10-07,24.9629732006,57739027.651871875,Earth
